Name,Born,Died,Age,Age at Death,Gender,Marital Status,Category,Class,Group,Ticket,Cabin,Embarked,Disembarked
Brewer B.,1888,,24,,Male,,Crew,Engine,Deserted,,,Southampton,Southampton
Coffey John,1889,1957,23,68,Male,Married,Crew,Engine,Deserted,,,Southampton,Queenstown
Holden Frank,1883,,29,,Male,,Crew,Engine,Deserted,,,Southampton,Southampton
Penney Alfred,1884,,28,,Male,,Crew,Engine,Deserted,,,Southampton,Southampton
Shaw James,1872,,40,,Male,,Crew,Engine,Deserted,,,Southampton,Southampton
Slade Alfred Edward,1887,1965,25,78,Male,,Crew,Engine,Deserted,,,Southampton,Southampton
Slade Bertram,1884,1943,28,59,Male,,Crew,Engine,Deserted,,,Southampton,Southampton
Slade Thomas,1883,1933,28,49,Male,,Crew,Engine,Deserted,,,Southampton,Southampton
Dawes W. W.,1874,,38,,Male,,Crew,Victualling,Discharged Crew,,,Southampton,Southampton
Ettlinger Peter,1881,1962,31,81,Male,,Crew,Victualling,Discharged Crew,,,Southampton,Southampton
Blake C.,1876,,36,,Male,,Crew,Engine,Failed to Join Ship,,,Southampton,Southampton
Bowman F. T.,1874,,38,,Male,,Crew,Victualling,Failed to Join Ship,,,Southampton,Southampton
Carter F.,1885,,27,,Male,,Crew,Engine,Failed to Join Ship,,,Southampton,Southampton
Dawkins P.,1888,,24,,Male,,Crew,Victualling,Failed to Join Ship,,,Southampton,Southampton
Di Napoli E.,1888,,24,,Male,,Crew,A la Carte,Failed to Join Ship,,,Southampton,Southampton
Fish B.,1874,,38,,Male,,Crew,Victualling,Failed to Join Ship,,,Southampton,Southampton
Fisher R.,1888,,24,,Male,,Crew,Victualling,Failed to Join Ship,,,Southampton,Southampton
Manly A.,1889,,23,,Male,,Crew,Victualling,Failed to Join Ship,,,Southampton,Southampton
Mewe W. J.,1877,,35,,Male,,Crew,Victualling,Failed to Join Ship,,,Southampton,Southampton
Kilford P.,1883,,29,,Male,,Crew,Victualling,Left Ship Sick,,,Southampton,Southampton
Burrows W.,1883,,29,,Male,,Crew,Engine,Left with Consent,,,Southampton,Southampton
Sims W.,1882,,30,,Male,,Crew,Engine,Left with Consent,,,Southampton,Southampton
Gwinn William Logan,1875,1912,37,37,Male,Married,Crew,Victualling,Postal Clerk,,,Southampton,
March John Starr,1861,1912,50,50,Male,Widowed,Crew,Victualling,Postal Clerk,,,Southampton,
Smith John Richard Jago,1877,1912,35,35,Male,Engaged,Crew,Victualling,Postal Clerk,,,Southampton,
Williamson James Bertram,1876,1912,35,35,Male,Single,Crew,Victualling,Postal Clerk,,,Southampton,
Woody Oscar Scott,1871,1912,41,41,Male,Married,Crew,Victualling,Postal Clerk,,,Southampton,
Black D.,1871,1912,41,41,Male,Single,Crew,Engine,Substitute Crew,,,Southampton,
Brown Joseph,1882,1912,30,30,Male,Married,Crew,Engine,Substitute Crew,,,Southampton,
Cotton Alfred,1876,1912,35,35,Male,Married,Crew,Engine,Substitute Crew,,,Southampton,
Dickson William,1875,1912,37,37,Male,Married,Crew,Engine,Substitute Crew,,,Southampton,
Dodds Henry Watson,1885,1912,26,26,Male,Engaged,Crew,Engine,Substitute Crew,,,Southampton,
Geer Alfred Emest,1886,1912,26,26,Male,Married,Crew,Engine,Substitute Crew,,,Southampton,
Gordon John,1882,1912,30,30,Male,Married,Crew,Engine,Substitute Crew,,,Southampton,
Hosgood Richard William,1889,1912,22,22,Male,Married,Crew,Engine,Substitute Crew,,,Southampton,
Kinsella Louis,1881,1912,30,30,Male,Married,Crew,Engine,Substitute Crew,,,Southampton,
Lloyd William,1883,1912,29,29,Male,Single,Crew,Engine,Substitute Crew,,,Southampton,
Locke Albert George,1879,1912,33,33,Male,,Crew,Victualling,Substitute Crew,,,Southampton,
O'Connor John,1882,1933,29,51,Male,Single,Crew,Engine,Substitute Crew,,,Southampton,New York City
Steel Robert Edward,1882,1912,30,30,Male,Single,Crew,Engine,Substitute Crew,,,Southampton,
Windebank Alfred Edgar,1873,1961,38,87,Male,Single,Crew,Victualling,Substitute Crew,,,Southampton,New York City
Witt Henry Dennis,1874,1912,37,37,Male,Single,Crew,Engine,Substitute Crew,,,Southampton,
Boxhall Joseph Groves,1884,1967,28,83,Male,Married,Crew,Deck,Titanic Officers,,,Belfast,New York City
Haddock Herbert James,1861,1946,51,85,Male,Married,Crew,Deck,Titanic Officers,,,Belfast,Belfast
Lightoller Charles Herbert,1874,1952,38,78,Male,Married,Crew,Deck,Titanic Officers,,,Belfast,New York City
Lowe Harold Godfrey,1882,1944,29,61,Male,Single,Crew,Deck,Titanic Officers,,,Belfast,New York City
Moody James Paul,1887,1912,24,24,Male,Single,Crew,Deck,Titanic Officers,,,Belfast,
Murdoch William McMaster,1873,1912,39,39,Male,Married,Crew,Deck,Titanic Officers,,,Belfast,
Pitman Herbert John,1877,1961,34,84,Male,Married,Crew,Deck,Titanic Officers,,,Belfast,New York City
Smith Edward John,1850,1912,62,62,Male,Married,Crew,Deck,Titanic Officers,,,Southampton,
Wilde Henry Tingle,1872,1912,39,39,Male,Widowed,Crew,Deck,Titanic Officers,,,Southampton,
Blair David,1874,1955,37,80,Male,Married,Crew,Deck,Transferred,,,Belfast,Southampton
Haveling A.,1886,,26,,Male,,Crew,Engine,Transferred,,,Southampton,Southampton
Abbott Ernest Owen,1891,1912,21,21,Male,Single,Crew,Victualling,,,,Southampton,
Abrams William Thomas,1878,1912,34,34,Male,Married,Crew,Engine,,,,Southampton,
Adams Robert John,1885,1912,26,26,Male,Single,Crew,Engine,,,,Southampton,
Ahier Percy Snowden,1892,1912,20,20,Male,Single,Crew,Victualling,,,,Southampton,
Akerman Albert Edward,1880,1912,31,31,Male,Single,Crew,Victualling,,,,Southampton,
Akerman Joseph Francis,1874,1912,37,37,Male,Married,Crew,Victualling,,,,Southampton,
Allaria Battista Antonio,1889,1912,22,22,Male,Single,Crew,A la Carte,,,,Southampton,
Allen Ernest Frederick,1888,1968,24,80,Male,Single,Crew,Engine,,,,Southampton,New York City
Allen George,1886,1912,26,26,Male,Married,Crew,Victualling,,,,Southampton,
Allen Henry,1882,1912,30,30,Male,Married,Crew,Engine,,,,Southampton,
Allen Robert Spencer,1876,1912,35,35,Male,Married,Crew,Victualling,,,,Southampton,
Allsop Alfred Samuel,1876,1912,36,36,Male,Married,Crew,Engine,,,,Belfast,
Allsop Frank Richard,1868,1912,43,43,Male,Married,Crew,Victualling,,,,Belfast,
Anderson John,1870,,42,,Male,Single,Crew,Deck,,,,Southampton,New York City
Anderson Walter Yuill,1861,1912,50,50,Male,Single,Crew,Victualling,,,,Southampton,
Andrews Archibald,1872,,40,,Male,,Crew,Engine,,,,Belfast,Southampton
Andrews Charles Edward,1893,1961,19,67,Male,Single,Crew,Victualling,,,,Southampton,New York City
Archer Ernest Edward,1876,1917,35,41,Male,Married,Crew,Deck,,,,Southampton,New York City
Armstrong James,1881,,31,,Male,,Crew,Engine,,,,Belfast,Southampton
Ashcroft Austin Aloysius,1885,1912,26,26,Male,Single,Crew,Victualling,,,,Southampton,
Ashe Henry Wellesley,1871,1912,41,41,Male,Married,Crew,Victualling,,,,Southampton,
Aspeslagh Georges,1885,1912,26,26,Male,Single,Crew,A la Carte,,,,Southampton,
Auld James,1880,,32,,Male,,Crew,Engine,,,,Belfast,Southampton
Avery James Albert,1891,1915,20,24,Male,Single,Crew,Engine,,,,Southampton,New York City
Ayling Edwin George,1889,1912,23,23,Male,Married,Crew,Victualling,,,,Southampton,
Back Charles Frederick,1875,1912,37,37,Male,Married,Crew,Victualling,,,,Belfast,
Baggott Allen Marden,1884,1921,28,36,Male,Married,Crew,Victualling,,,,Southampton,New York City
Bagley Edward Henry,1879,1912,33,33,Male,Married,Crew,Victualling,,,,Southampton,
Bailey George,1868,1912,44,44,Male,Single,Crew,Victualling,,,,Belfast,
Bailey George Frank,1866,1912,46,46,Male,Married,Crew,Engine,,,,Southampton,
Bailey Henry Joseph,1865,1943,46,77,Male,Married,Crew,Deck,,,,Southampton,New York City
Bailey William,1882,,30,,Male,,Crew,Engine,,,,Belfast,Southampton
Bain David,1859,,52,,Male,Married,Crew,Engine,,,,Belfast,Southampton
Baines Richard,1854,1912,58,58,Male,Single,Crew,Engine,,,,Southampton,
Baker John,1880,1933,32,52,Male,Married,Crew,Engine,,,,Belfast,Southampton
Ball Percy,1894,1933,18,39,Male,Single,Crew,Victualling,,,,Southampton,New York City
Banfi Ugo,1887,1912,24,24,Male,Single,Crew,A la Carte,,,,Southampton,
Bannon John Joseph,1877,1912,34,34,Male,Married,Crew,Engine,,,,Southampton,
Barker Albert Vale,1893,1912,19,19,Male,Single,Crew,Victualling,,,,Southampton,
Barker Ernest Thomas,1871,1912,40,40,Male,Married,Crew,Victualling,,,,Southampton,
Barker George,1856,,56,,Male,,Crew,Engine,,,,Belfast,Southampton
Barker George,1866,,46,,Male,,Crew,Deck,,,,Belfast,Southampton
Barker Reginald Lomond,1870,1912,42,42,Male,Married,Crew,Victualling,,,,Belfast,
Barker Stokes,1886,,26,,Male,,Crew,Engine,,,,Belfast,Southampton
Barkley Robert,1873,,39,,Male,,Crew,Engine,,,,Belfast,Southampton
Barlow Charles Henry,1881,1912,30,30,Male,Married,Crew,Engine,,,,Southampton,
Barlow George,1872,1912,39,39,Male,Single,Crew,Victualling,,,,Southampton,
Barnes Charles,1883,1912,29,29,Male,Single,Crew,Engine,,,,Southampton,
Barnes Frederick Charles,1872,1912,40,40,Male,Single,Crew,Victualling,,,,Southampton,
Barnes John,1872,1912,39,39,Male,Married,Crew,Engine,,,,Southampton,
Barnes William John,1875,1927,36,51,Male,Single,Crew,Engine,,,,Belfast,Southampton
Barratt Arthur,1896,1912,16,16,Male,Single,Crew,Victualling,,,,Southampton,
Barrett Frederick William,1879,1912,33,33,Male,Married,Crew,Engine,,,,Southampton,
Barrett Frederick William,1883,1931,29,48,Male,Single,Crew,Engine,,,,Southampton,New York City
Barringer Arthur William,1878,1912,34,34,Male,Married,Crew,Victualling,,,,Belfast,
Barrow Charles Henry John,1876,1912,35,35,Male,Married,Crew,Victualling,,,,Southampton,
Barrows Edward William Peter,1879,1912,32,32,Male,Single,Crew,Victualling,,,,Southampton,
Barry James,1881,,31,,Male,,Crew,Engine,,,,Belfast,Southampton
Bartley Robert,1880,,32,,Male,,Crew,Engine,,,,Belfast,Southampton
Bartley Thomas,1876,1957,35,81,Male,Married,Crew,Victualling,,,,Belfast,Southampton
Barton Sidney John,1886,1912,26,26,Male,Single,Crew,Victualling,,,,Southampton,
Basilico Giovanni,1885,1912,27,27,Male,Single,Crew,A la Carte,,,,Southampton,
Baxter Harry Ross,1858,1912,53,53,Male,Widowed,Crew,Victualling,,,,Southampton,
Baxter Thomas Ferguson,1856,1912,55,55,Male,Married,Crew,Victualling,,,,Southampton,
Bazzi Narciso,1878,1912,33,33,Male,Single,Crew,A la Carte,,,,Southampton,
Beattie Francis,1873,1943,39,69,Male,Married,Crew,Engine,,,,Belfast,Southampton
Beattie Joseph John,1871,1912,40,40,Male,Married,Crew,Engine,,,,Belfast,
Beauchamp George William,1888,1965,24,77,Male,Single,Crew,Engine,,,,Southampton,New York City
Bedford William Barnett,1880,1912,31,31,Male,Single,Crew,Victualling,,,,Southampton,
Beedem George Arthur,1877,1912,35,35,Male,Married,Crew,Victualling,,,,Southampton,
Beere William,1893,1912,19,19,Male,Single,Crew,Victualling,,,,Southampton,
Bell Joseph,1861,1912,51,51,Male,Married,Crew,Engine,,,,Belfast,
Bendell Frank,1888,1912,23,23,Male,Single,Crew,Engine,,,,Southampton,
Benham Fred John,1882,1912,29,29,Male,Single,Crew,Victualling,,,,Southampton,
Bennett George Alfred,1881,1912,30,30,Male,Single,Crew,Engine,,,,Southampton,
Bennett Mabel Kate,1878,1974,33,96,Female,Married,Crew,Victualling,,,,Southampton,New York City
Benson James,1862,,50,,Male,,Crew,Deck,,,,Belfast,Southampton
Benson John,1886,,26,,Male,,Crew,Deck,,,,Belfast,Southampton
Benson William,1887,1967,25,79,Male,Single,Crew,Engine,,,,Belfast,Southampton
Benville Edward,1864,1912,47,47,Male,Single,Crew,Engine,,,,Southampton,
Bernardi Battista,1890,1912,22,22,Male,,Crew,A la Carte,,,,Southampton,
Bessant Edward,1880,1912,31,31,Male,Married,Crew,Victualling,,,,Southampton,
Bessant William Edward Lowe,1871,1912,40,40,Male,Married,Crew,Engine,,,,Southampton,
Best Edwin Alfred,1872,1912,40,40,Male,Married,Crew,Victualling,,,,Belfast,
Beux David,1886,1912,25,25,Male,,Crew,A la Carte,,,,Southampton,
Bevis Joseph Henry,1890,1912,22,22,Male,Single,Crew,Engine,,,,Southampton,
Biddlecombe Reginald Charles,1880,1912,31,31,Male,Married,Crew,Engine,,,,Southampton,
Biggs Edward Charles,1891,1912,20,20,Male,Single,Crew,Engine,,,,Southampton,
Billows James,1892,1912,20,20,Male,Single,Crew,Engine,,,,Southampton,
Binstead Walter William,1891,1959,20,67,Male,Single,Crew,Engine,,,,Southampton,New York City
Bishop Walter Alexander,1878,1912,34,34,Male,Married,Crew,Victualling,,,,Belfast,
Bittle Robert,1866,1922,46,56,Male,Married,Crew,Engine,,,,Belfast,Southampton
Biétrix George Baptiste,1883,1912,28,28,Male,Single,Crew,A la Carte,,,,Southampton,
Black Alexander,1884,1912,28,28,Male,,Crew,Engine,,,,Southampton,
Black James,1874,,38,,Male,,Crew,Engine,,,,Belfast,Southampton
Blackman Albert Edward,1889,1912,23,23,Male,Single,Crew,Engine,,,,Southampton,
Blades Frederick Charles,1895,1912,17,17,Male,Single,Crew,Victualling,,,,Southampton,
Blake John Douglas Stanley George,1886,1912,26,26,Male,Single,Crew,Engine,,,,Belfast,
Blake Percival Albert,1889,1968,22,78,Male,Single,Crew,Engine,,,,Southampton,New York City
Blake Thomas Henry,1875,1912,36,36,Male,Married,Crew,Engine,,,,Southampton,
Blaney James,1880,1912,32,32,Male,Single,Crew,Engine,,,,Southampton,
Blann Eustace Horatius,1890,1912,21,21,Male,Single,Crew,Engine,,,,Southampton,
Bliss Emma,1866,1959,45,93,Female,Married,Crew,Victualling,,,,Southampton,New York City
Bloomer James,1860,1927,51,66,Male,Married,Crew,Deck,,,,Belfast,Southampton
Blumet Jean Baptiste,1886,1912,26,26,Male,,Crew,A la Carte,,,,Southampton,
Boal John,1872,,40,,Male,,Crew,Engine,,,,Belfast,Southampton
Bochatay Alexis Joseph,1881,1912,30,30,Male,Single,Crew,Victualling,,,,Southampton,
Bochet Pietro Giuseppe,1868,1912,43,43,Male,Married,Crew,A la Carte,,,,Southampton,
Bogie Norman Leslie,1853,1912,59,59,Male,Married,Crew,Victualling,,,,Southampton,
Bolhuis Hendrik,1884,1912,27,27,Male,Single,Crew,A la Carte,,,,Southampton,
Bond William John,1867,1912,45,45,Male,Married,Crew,Victualling,,,,Belfast,
Boothby Walter Thomas,1874,1912,37,37,Male,Married,Crew,Victualling,,,,Southampton,
Boston William John,1879,1912,32,32,Male,Married,Crew,Victualling,,,,Belfast,
Bott William Thomas,1866,1912,46,46,Male,,Crew,Engine,,,,Southampton,
Boughton Bernard John,1887,1912,24,24,Male,Single,Crew,Victualling,,,,Southampton,
Bowker Ruth Harwood,1880,1956,31,75,Female,Single,Crew,A la Carte,,,,Southampton,New York City
Boyd Adam,1874,,38,,Male,,Crew,Engine,,,,Belfast,Southampton
Boyd John,1875,1912,37,37,Male,Married,Crew,Victualling,,,,Southampton,
Boyes John Henry,1875,1912,36,36,Male,Married,Crew,Victualling,,,,Belfast,
Bradley Patrick Joseph,1873,1912,38,38,Male,Married,Crew,Engine,,,,Southampton,
Bradley Thomas Henry,1883,1912,28,28,Male,Single,Crew,Deck,,,,Southampton,
Bradshaw John Albert Perkin,1869,1912,42,42,Male,Married,Crew,Victualling,,,,Southampton,
Braiden William John,1875,1946,37,71,Male,Married,Crew,Engine,,,,Belfast,Southampton
Brennan Thomas,1873,,39,,Male,,Crew,Engine,,,,Belfast,Southampton
Brewer Harry,1882,1912,30,30,Male,Married,Crew,Engine,,,,Southampton,
Brewster George Henry,1859,1912,52,52,Male,Married,Crew,Victualling,,,,Belfast,
Briant Albert,1877,1912,34,34,Male,Married,Crew,Engine,,,,Southampton,
Briant Arthur,1882,1912,30,30,Male,Married,Crew,Engine,,,,Southampton,
Brice Walter Thomas,1869,1928,42,58,Male,Married,Crew,Deck,,,,Southampton,New York City
Bride Harold Sydney,1890,1956,22,66,Male,Single,Crew,Victualling,,,,Belfast,New York City
Bright Arthur John,1869,1955,42,86,Male,Married,Crew,Deck,,,,Belfast,New York City
Bristow Harry,1873,1912,38,38,Male,Married,Crew,Victualling,,,,Southampton,
Bristow Robert Charles,1873,1912,38,38,Male,Married,Crew,Victualling,,,,Southampton,
Brookman John Cress,1884,1912,28,28,Male,Married,Crew,Victualling,,,,Southampton,
Brooks J.,1887,1912,25,25,Male,Single,Crew,Engine,,,,Southampton,
Broom Herbert George,1879,1912,33,33,Male,Married,Crew,Victualling,,,,Belfast,
Broome Athol Frederick,1881,1912,31,31,Male,Married,Crew,Victualling,,,,Southampton,
Brown Edward,1878,1926,34,48,Male,Single,Crew,Victualling,,,,Belfast,New York City
Brown John,1884,1912,28,28,Male,Single,Crew,Engine,,,,Southampton,
Brown Walter James,1871,1912,41,41,Male,Single,Crew,Victualling,,,,Belfast,
Bryan John,1890,,22,,Male,,Crew,Engine,,,,Belfast,Southampton
Buckley H. E.,1878,1912,34,34,Male,,Crew,Victualling,,,,Southampton,
Buley Edward John,1885,1917,26,32,Male,Single,Crew,Deck,,,,Southampton,New York City
Bull Walter Edward,1875,1912,36,36,Male,Married,Crew,Victualling,,,,Southampton,
Bulley Henry Ashburnham,1890,1912,21,21,Male,Single,Crew,Victualling,,,,Southampton,
Bunnell Wilfred James,1891,1912,20,20,Male,Single,Crew,Victualling,,,,Belfast,
Burgess Charles,1893,1960,18,67,Male,Single,Crew,Victualling,,,,Southampton,New York City
Burke Richard Edward,1882,1912,29,29,Male,Married,Crew,Victualling,,,,Belfast,
Burke William,1872,1961,39,88,Male,Single,Crew,Victualling,,,,Belfast,New York City
Burness Frank,1869,,43,,Male,,Crew,Engine,,,,Belfast,Southampton
Burns John,1880,,31,,Male,Married,Crew,Deck,,,,Belfast,Southampton
Burns William Simpson,1874,1953,37,79,Male,,Crew,Engine,,,,Belfast,Southampton
Burr Ewart Sydenham,1883,1912,28,28,Male,Married,Crew,Victualling,,,,Southampton,
Burrage Arthur Victor Edwards,1891,1951,20,60,Male,Single,Crew,Victualling,,,,Southampton,New York City
Burroughs Arthur Peckham,1877,1912,34,34,Male,Married,Crew,Engine,,,,Southampton,
Burton Edward John,1877,1912,35,35,Male,Single,Crew,Engine,,,,Southampton,
Butt Robert Henry,1890,1912,21,21,Male,Single,Crew,Victualling,,,,Southampton,
Butt William John,1881,1912,30,30,Male,Single,Crew,Engine,,,,Southampton,
Butterworth John,1889,1912,23,23,Male,Single,Crew,Victualling,,,,Southampton,
Byrne James Edward,1867,1912,44,44,Male,Single,Crew,Victualling,,,,Southampton,
Cairnes Robert,1862,,50,,Male,,Crew,Engine,,,,Belfast,Southampton
Calderwood Hugh,1879,1912,33,33,Male,Single,Crew,Engine,,,,Belfast,
Campbell Donald Samuel,1884,1912,28,28,Male,Single,Crew,Victualling,,,,Southampton,
Canner John,1872,1912,40,40,Male,Single,Crew,Engine,,,,Southampton,
Cardwell John,1879,1963,32,84,Male,Married,Crew,Engine,,,,Belfast,Southampton
Carney William John,1881,1912,31,31,Male,Single,Crew,Victualling,,,,Southampton,
Carr Richard Stephen,1884,1912,27,27,Male,Engaged,Crew,Engine,,,,Southampton,
Carson James,1875,1950,36,74,Male,Married,Crew,Engine,,,,Belfast,Southampton
Carter James,1866,1912,46,46,Male,Married,Crew,Engine,,,,Southampton,
Cartwright James Edward,1879,1912,33,33,Male,Single,Crew,Victualling,,,,Belfast,
Casali Giulio,1880,1912,32,32,Male,Single,Crew,A la Carte,,,,Southampton,
Casey Thomas,1867,1912,44,44,Male,Single,Crew,Engine,,,,Southampton,
Cassidy William John,1881,1953,30,72,Male,Married,Crew,Engine,,,,Belfast,Southampton
Casswill Charles,1877,1912,34,34,Male,Married,Crew,Victualling,,,,Southampton,
Castleman Edward,1874,1912,37,37,Male,Married,Crew,Engine,,,,Southampton,
Caton Annie,1879,1947,33,68,Female,Single,Crew,Victualling,,,,Southampton,New York City
Caunt William Ewart,1884,1912,28,28,Male,Married,Crew,Victualling,,,,Southampton,
Cave Herbert,1873,1912,39,39,Male,Married,Crew,Victualling,,,,Belfast,
Cavell George Henry,1889,1966,22,75,Male,Single,Crew,Engine,,,,Southampton,New York City
Cecil Charles Thomas,1891,1912,21,21,Male,Single,Crew,Victualling,,,,Southampton,
Chaboisson Adrien Firmin,1886,1912,25,25,Male,,Crew,A la Carte,,,,Southampton,
Chapman Joseph Charles,1879,1939,32,59,Male,Married,Crew,Victualling,,,,Southampton,New York City
Charman John James,1886,1912,25,25,Male,Single,Crew,Victualling,,,,Southampton,
Cheevers William,1880,1914,31,33,Male,Married,Crew,Engine,,,,Belfast,Southampton
Cherrett William Victor,1887,1912,24,24,Male,Single,Crew,Engine,,,,Southampton,
Cheverton William Frederick,1884,1912,27,27,Male,Single,Crew,Victualling,,,,Belfast,
Chisnall George Alexander,1875,1912,36,36,Male,Married,Crew,Engine,,,,Belfast,
Chitty Archibald George,1883,1912,28,28,Male,,Crew,Victualling,,,,Southampton,
Chitty George Henry,1862,1912,50,50,Male,Widowed,Crew,Victualling,,,,Southampton,
Chorley John Henry,1887,1912,25,25,Male,Single,Crew,Engine,,,,Southampton,
Christmas Herbert Harry,1878,1912,34,34,Male,Married,Crew,Victualling,,,,Southampton,
Clark William,1869,,42,,Male,Single,Crew,Engine,,,,Southampton,New York City
Cleland James,1881,1929,30,47,Male,Married,Crew,Engine,,,,Belfast,Southampton
Clench Frederick Charles,1878,1930,33,51,Male,Single,Crew,Deck,,,,Southampton,New York City
Clench George James,1881,1912,31,31,Male,Single,Crew,Deck,,,,Southampton,
Cochrane Robert,1867,,44,,Male,Married,Crew,Engine,,,,Belfast,Southampton
Coe Harry,1890,1912,21,21,Male,Married,Crew,Engine,,,,Southampton,
Coleman Albert Edward,1883,1912,28,28,Male,Married,Crew,Victualling,,,,Southampton,
Coleman John,1854,1912,57,57,Male,Married,Crew,Engine,,,,Belfast,
Colgan Joseph,1879,,33,,Male,,Crew,Victualling,,,,Southampton,New York City
Collins John,1874,1950,38,76,Male,Married,Crew,Engine,,,,Southampton,New York City
Collins John,1894,1941,17,46,Male,Single,Crew,Victualling,,,,Southampton,New York City
Combes George,1877,1916,34,38,Male,Married,Crew,Engine,,,,Southampton,New York City
Connor James,1866,,46,,Male,,Crew,Engine,,,,Belfast,Southampton
Connor Thomas,1873,,39,,Male,,Crew,Engine,,,,Belfast,Southampton
Conway Percy Walter,1887,1912,25,25,Male,Single,Crew,Victualling,,,,Belfast,
Cook Gilbert William,1880,1912,32,32,Male,Single,Crew,Victualling,,,,Southampton,
Coombs Charles Augustus,1867,1912,45,45,Male,Married,Crew,Victualling,,,,Southampton,
Cooper H.,1886,1912,25,25,Male,Single,Crew,Engine,,,,Southampton,
Cooper James Edward,1886,1912,26,26,Male,Single,Crew,Engine,,,,Southampton,
Copperthwaite Albert Harry,1883,1912,28,28,Male,Married,Crew,Engine,,,,Southampton,
Corben Ernest Theodore,1885,1912,27,27,Male,Married,Crew,Victualling,,,,Southampton,
Corcoran Dennis,1879,1912,33,33,Male,,Crew,Engine,,,,Southampton,
Cornaire Marcel Raymond André,1892,1912,19,19,Male,,Crew,A la Carte,,,,Southampton,
Cosgrove John,1893,,19,,Male,Single,Crew,Engine,,,,Belfast,Southampton
Cosgrove William James Gilligan,1888,1962,24,74,Male,Married,Crew,Engine,,,,Belfast,Southampton
Couch Frank,1884,1912,27,27,Male,Single,Crew,Deck,,,,Southampton,
Couch Joseph Henry,1862,1912,49,49,Male,,Crew,Engine,,,,Southampton,
Couper Robert Frederick William,1882,1941,30,59,Male,Married,Crew,Engine,,,,Southampton,New York City
Coutin Auguste Louis,1884,1912,28,28,Male,Widowed,Crew,A la Carte,,,,Southampton,
Cox William Denton,1882,1912,30,30,Male,Single,Crew,Victualling,,,,Southampton,
Coy Francis Ernest George,1885,1912,27,27,Male,Married,Crew,Engine,,,,Belfast,
Crabb Henry James,1889,1912,23,23,Male,Single,Crew,Engine,,,,Southampton,
